|user|item|rating|review
0|faj.1373|poco x3 pro|6.9|it is good but for about 2 years not more 
1|jovan.tasic07|poco x3 pro|9.0|really powerful phone but with at most ok battery
2|bondoshideaki|poco x3 pro|8.5|good for gaming and everyday uses
3|etgoon|poco x3 pro|7.0|incredible for its price good to be main but have some problems
4|kingcobra|poco x3 pro|9.4|flagship for price of low range phone
5|walidblue23|poco x3 pro|10.0|the best
6|CelledOut|poco x3 pro|8.6|great phone with great 855+ soc
7|samuel.sr129|poco x3 pro|9.3|very fast nice stylish
8|younesrh16|poco x3 pro|9.5|excellent device for its price
9|paoloaziz80|poco x3 pro|7.6|only good for gaming not photos or connectivity or battery
10|RollsRoyce89|poco x3 pro|8.7|powerful midrange smartphone with snapdragon 860 made in 2021
11|maurizioilmigliore555|poco x3 pro|9.1|this is a best buy phone
12|hd66bad|poco x3 pro|9.2|best buy 
13|jamq31|poco x3 pro|8.7|pretty great smartphone all around but the software
14|2vinci.leonard|poco x3 pro|9.5|the best phone you can find it has everything
15|kairus|poco x3 pro|8.7|pretty good phone but
16|dbenton25|poco x3 pro|9.3|excellent budget phone for photography
17|puyamotlaq5|poco x3 pro|5.2|good fone
18|fabioIT|poco x3 pro|8.6|bestbuy perfect midrange with just a couple of trifles
19|Eimeric|poco x3 pro|8.5|best budget device in 2021
20|clozed|poco x3 pro|9.1|all good but roms are quite unimpressed
21|ali203875|poco x3 pro|10.0|really perfect mobile for gamin
22|javipark92|poco x3 pro|10.0|it is a beast
23|www.11731382|poco x3 pro|9.4|very good phone
24|doelas|poco x3 pro|10.0|this is a must have phone
25|radukam|poco x3 pro|9.6|hello yes it is a good one 
26|sofianesebbouh|poco x3 pro|9.0|it is the best for the price
27|amirkhaleqi|poco x3 pro|9.7|excellent and the best in it is range 
28|eminaest|poco x3 pro|10.0|very very good phone at this price range very smooth in day tasks
29|cristobal.gutiebenz|poco x3 pro|9.5|an amazing phone that performs surprisingly well for its price
30|bike_tech1|poco x3 pro|10.0|i am very happy with it important the fm radio
31|slavendjervida|poco x3 pro|7.8|probably the best smartphone in this price range
32|bintangtry2703|poco x3 pro|9.8|best smartphone 2021
33|vdmascarenhas|poco x3 pro|8.1|good phone cheap and powerful
34|kamin.bozorg.chenani|poco x3 pro|9.2|perfect
35|nikola-ugljesic-61346e3aba5e6|poco x3 pro|10.0|good
36|maroinbecikh|poco x3 pro|9.6|it is a good phone for games and hard works
37|fercol|poco x3 pro|8.8|hard to beat terminal
38|juanes24|poco x3 pro|10.0|a perfect mobile for its price
39|vachemeuuh|poco x3 pro|9.5|very good phone for its price
40|m.melo2007|poco x3 pro|9.6|i expected this quality
41|dilorom81tula|poco x3 pro|9.1|great price cheap and angry in the style of xiaomi poko
42|Priko|poco x3 pro|9.1|a great mobile at a great price
43|salasariaswilmarbrazile86|poco x3 pro|9.4|an excellent smartphone 
44|Angel75|poco x3 pro|10.0|excellent for its price
45|l.gasselin29|poco x3 pro|10.0|the best value for money
46|lolpik223|poco x3 pro|9.2|amateur review 
47|javiermourinorodriguez|poco x3 pro|10.0|simply amazing
48|jhoshevigo|poco x3 pro|10.0|i come from an f1 and it has nothing to do
49|fusteret94|poco x3 pro|7.3|very good but 
50|ruchard.201410|poco x3 pro|9.5|a cell phone worth every penny
51|extremephantasy53|poco x3 pro|10.0|expectacular for the price i bought 
52|Toflamo|poco x3 pro|10.0|very fresh and the best without a doubt if you get it for $ 200
53|brayandeivi123|poco x3 pro|9.8|gross power at very good cost
54|Omar13|poco x3 pro|9.2|an excellent cell phone for those who want to play
55|oscar-figueroa-609419a33a4e4|poco x3 pro|9.3|it is a very good experience
56|alexdavid777|poco x3 pro|9.2|excellent phone the best quality price there is no other 
57|ctcarlostuenti|poco x3 pro|3.2|possibly the best of its price but 
58|sergiocupitra15|poco x3 pro|7.9|good experience and good performance
59|anestis2222|poco x3 pro|9.4|amazing
60|mauriciojunior78|poco x3 pro|8.7|great value for money 
61|maximusoctubre|poco x3 pro|10.0|good cell phone powerful excellent battery and all for an unbeatable price
62|diogopjaraujo|poco x3 pro|9.5|very good device in its price range
63|MrNINJA|poco x3 pro|9.5|worth your money
64|anonymous_265343_61bfe5c83a5fb|poco x3 pro|10.0|i love this little x3 pro
65|barucprieto1|poco x3 pro|9.0|excellent terminal at this price
66|anonymous_186019_61f061a9ae0e3|poco x3 pro|10.0|rocket for cheap
67|jsemilioa.f|poco x3 pro|10.0|very good phone for the price
68|michelbr_sts|poco x3 pro|8.3|cell phone is poorly optimized
69|henrique.clubzuca|poco x3 pro|9.9|great
70|hojimuhamm002|poco x3 pro|9.2|great phone for your money
71|antoniodf261003|poco x3 pro|10.0|my best investment
72|habdielpm1|poco x3 pro|9.6|powerful
73|metalmag79|poco x3 pro|9.5|great in game experience nothing to say
74|ped_nune2015|poco x3 pro|10.0|good team in terms of value for money
75|le.310386|poco x3 pro|8.4|powerful but not complete but great value for money
76|danipr200708|poco x3 pro|9.9|it is okay
77|danilomax2007|poco x3 pro|9.7|practical and comfortable great quality for the price you pay
78|nachogabriel02|poco x3 pro|8.9|a perfect mobile for what you need
79|cl2r4g|poco x3 pro|9.3|the best quality price
80|squadra|poco x3 pro|10.0|great for gaming and more
81|ShiroRyuk|poco x3 pro|8.3|what you get is power
82|alianza.gamer02|poco x3 pro|10.0|love at first sight
83|Doari|poco x3 pro|9.1|it is my current phone and it is an amazing phone
84|wightcharlie771|poco x3 pro|8.8|price quality
85|yosvanyangueira|poco x3 pro|10.0|good mobile quality price
86|Jefferreiira|poco x3 pro|10.0|unbeatable
87|JoseLoyola|poco x3 pro|9.0|it is a good mobile at its price one of the kings of the mid range currently in this year 2021
88|italo.tocafundo|poco x3 pro|10.0|very satisfied
89|Derek|poco x3 pro|9.1|it is a very powerful phone if you are going to use it to play do not hesitate to buy
90|dizaster1404|poco x3 pro|9.8|best phone for $ 275
91|crowmar|poco x3 pro|4.1|do not buy it
92|arq.adem|poco x3 pro|9.3|great option for a tight budget
93|A_Alex_6|poco x3 pro|8.7|satisfactory
94|ThisIsDaMatt|poco x3 pro|8.6|good for games but you have to handle it with protective gloves
95|hottabi489|poco x3 pro|9.8|an excellent device for your money it is hard to find a better one for this amount especially in version 
96|olegarnautov0001|poco x3 pro|9.0|great phone for the price
97|alvilchez|poco x3 pro|10.0|great cost benefit
98|fernandoclssh|poco x3 pro|8.5|good power battery and sound 8 out of 10
99|incognito95795|poco x3 pro|8.0|good phone at a good price
100|carlosjrhenrique|poco x3 pro|10.0|great
101|NicolasDemetrio..|poco x3 pro|9.4|monstrous smartphone / price
102|joelgyanbaffour|poco x3 pro|9.6|a more than good phone for the price
103|iosefmicael|poco x3 pro|7.7|very good
104|JohnConorG|poco x3 pro|10.0|excellent let us hope it continues i would buy it again without any doubt
105|integralsln2|poco x3 pro|9.9|the best smartphone ever 
106|alexanderdll0477|poco x3 pro|7.5|good device they would have improved the screen with amoled a little more brightness better cameras for a reasonable price
107|Maikelnaigt|poco x3 pro|9.3|great terminal literally at a scandal price
108|cristian-camacho-621d258a442ce|poco x3 pro|9.8|excellent mobile without a doubt powerful fluid resistant well built
109|raslr6|poco x3 pro|4.0|sudden death in one year
110|Cnety|poco x3 pro|9.3|it is good kldsja
111|ian-sanchez-5c240734ceed0|poco x3 pro|9.1|the best mobile i have ever had
112|ivanpajuelogavira|poco x3 pro|8.8|an almost perfect mobile for its price
113|rafael.uktena|poco x3 pro|7.6|a good smartphone but not perfect
114|armel-towa-621290e058497|poco x3 pro|8.0|very powerful smartphone a real racing beast for its price
